dataset,iter,d_cpdag,Time,SHDs,TPR,FPR
4insuranceSmall,7,8,0.09242963790893555,2.0,0.92,0.0
4insuranceSmall,8,8,0.1057581901550293,1.0,0.96,0.0
4insuranceSmall,9,8,0.028809547424316406,1.0,0.96,0.0
4insuranceSmall,10,8,0.10114049911499023,1.0,0.96,0.0
5rain,1,2,0.09660863876342773,1.0,0.9444444444444444,0.0
5rain,2,4,0.10489869117736816,2.0,0.9444444444444444,0.0056179775280898875
5rain,3,2,0.08742856979370117,1.0,0.9444444444444444,0.0
5rain,4,2,0.08494234085083008,1.0,0.9444444444444444,0.0
5rain,5,2,0.09431672096252441,1.0,0.9444444444444444,0.0
5rain,6,2,0.10079026222229004,1.0,0.9444444444444444,0.0
5rain,7,2,0.10248851776123047,1.0,0.9444444444444444,0.0
5rain,8,2,0.09984803199768066,1.0,0.9444444444444444,0.0
5rain,9,2,0.11154007911682129,1.0,0.9444444444444444,0.0
5rain,10,2,0.1759934425354004,1.0,0.9444444444444444,0.0
6cloud,1,4,0.10028886795043945,2.0,0.8947368421052632,0.0
6cloud,2,2,0.0966343879699707,1.0,0.9473684210526315,0.0
6cloud,3,4,0.09362196922302246,2.0,0.8947368421052632,0.0
6cloud,4,4,0.18906188011169434,2.0,0.8947368421052632,0.0
6cloud,5,4,0.19271230697631836,2.0,0.8947368421052632,0.0
6cloud,6,2,0.10052490234375,1.0,0.9473684210526315,0.0
6cloud,7,4,0.09282088279724121,2.0,0.8947368421052632,0.0
6cloud,8,5,0.19043755531311035,2.0,0.9473684210526315,0.004219409282700422
6cloud,9,4,0.01514291763305664,2.0,0.8947368421052632,0.0
6cloud,10,2,0.09164786338806152,1.0,0.9473684210526315,0.0
7funnel,1,2,0.20018267631530762,1.0,0.9444444444444444,0.0
7funnel,2,2,0.09071683883666992,1.0,0.9444444444444444,0.0
7funnel,3,2,0.28475332260131836,1.0,0.9444444444444444,0.0
7funnel,4,2,0.019142627716064453,1.0,0.9444444444444444,0.0
7funnel,5,2,0.1030428409576416,1.0,0.9444444444444444,0.0
7funnel,6,2,0.09357786178588867,1.0,0.9444444444444444,0.0
7funnel,7,2,0.19505071640014648,1.0,0.9444444444444444,0.0
7funnel,8,2,0.027361631393432617,1.0,0.9444444444444444,0.0
7funnel,9,2,0.11096405982971191,1.0,0.9444444444444444,0.0
7funnel,10,2,0.10222625732421875,1.0,0.9444444444444444,0.0
8galaxy,1,4,0.10077834129333496,2.0,0.9545454545454546,0.0026455026455026454
8galaxy,2,1,0.19930315017700195,1.0,0.9545454545454546,0.0
8galaxy,3,1,0.09843254089355469,1.0,0.9545454545454546,0.0
8galaxy,4,1,0.10783815383911133,1.0,0.9545454545454546,0.0
8galaxy,5,1,0.18735432624816895,1.0,0.9545454545454546,0.0
8galaxy,6,1,0.1910686492919922,1.0,0.9545454545454546,0.0
8galaxy,7,1,0.08245301246643066,1.0,0.9545454545454546,0.0
8galaxy,8,1,0.1972358226776123,1.0,0.9545454545454546,0.0
8galaxy,9,1,0.08533287048339844,1.0,0.9545454545454546,0.0
8galaxy,10,1,0.1902167797088623,1.0,0.9545454545454546,0.0
